lon,lat,name,amenity
-122.0489338,37.3371082,Homestead High School Library,library
-122.4138545,37.6564151,Grand Avenue Branch South San Francisco Public Library,library
-117.6998106,33.6195048,El Toro Branch Library,library
-121.8409504,37.3113523,Tully Community Branch Library,library
-122.414971,37.7671519,Far West Library for Educational Research and Development,library
-122.4169157,37.8035397,Anne Bremer Memorial Library,library
-122.5264118,41.726532,Montague Branch Siskiyou County Public Library,library
-122.6386376,41.7301409,Siskiyou County Law Library,library
-122.6397487,41.7265298,Siskiyou County Public Library,library
-122.4191378,37.7838181,William E Colby Memorial Library,library
-123.3800553,41.7934575,Happy Camp Branch Siskiyou County Public Library,library
-122.2714623,41.2117064,Dunsmuir Branch Siskiyou County Public Library,library
-124.2611664,40.5795738,Ferndale Public Library,library
-121.4772138,41.955433,Tulelake Branch Siskiyou County Public Library,library
-121.5396062,39.1252292,Library Learning Center Yuba Community College,library
-121.6063539,39.1357187,Sutter County Law Library,library
-121.7485814,39.1590582,Sutter Branch Sutter County Free Library,library
-120.9946654,38.9976748,Applegate Branch Auburn-Placer County Library,library
-121.5876115,39.1376959,Yuba County Library,library
-121.5874656,39.1396143,Packard Library,library
-121.7180192,38.8004571,Knights Landing Branch (Yolo County Library),library
-118.483636,34.0027398,Ocean Park Branch Santa Monica Public Library,library
-118.470092,34.0160907,Santa Monica College Library,library
-118.4687138,34.0526979,Brentwood Branch Los Angeles Public Library,library
-118.3767443,34.0605657,Margaret Herrick Library,library
-118.3859111,34.0483437,Robertson Branch Los Angeles Public Library,library
-122.030384,37.5345784,Newark Branch Alameda County Library,library
-122.1258631,37.6788803,San Lorenzo Branch Alameda County Library,library
-122.1341316,37.708819,South Branch San Leandro Community Library,library
-118.4635887,34.014622,Fairview Branch Library,library
-122.2685805,38.0354771,Rodeo Library - Contra Costa County Library,library
-122.3399034,37.9579056,San Pablo Branch Contra Costa County Library,library
-121.6926364,37.9336105,Brentwood Branch Contra Costa County Library,library
-121.8125735,38.0047213,Antioch Branch Contra Costa County Library,library
-121.9211157,41.963203,Dorris Branch Siskiyou County Public Library,library
-120.6635622,40.4165618,Lassen County Free Library,library
-120.9469729,39.9361251,Plumas County Library,library
-121.063353,39.2169201,Grass Valley Royce Branch Nevada County Library,library
-121.0181936,39.2638203,Nevada County Law Library,library
-122.3037208,40.4514662,Anderson Branch Shasta County Library,library
-122.1749085,37.7515442,Elmhurst Branch Oakland Public Library,library
-123.9918959,40.8826072,Blue Lake Branch Humboldt County Library,library
-122.1823061,37.6978646,Mulford-Marina Branch San Leandro Community Library,library
-122.1530209,37.6913197,Manor Branch San Leandro Community Library,library
-122.0222295,37.5680037,Centerville Branch Alameda County Library,library
-122.2388859,40.1784886,Herbert Kraft Free Library,library
-122.941094,40.7346382,Trinity County Law Library,library
-123.1911187,40.5527732,Hayfork Branch Trinity County Library,library
-124.1624717,40.8027324,Humboldt County Law Library,library
-121.0280731,39.2481921,Searls Historical Library,library
-122.2934073,37.8879164,Albany Branch Alameda County Library,library
-118.3542318,33.8985378,Lawndale Branch County of Los Angeles Public Library,library
-122.078888,37.6332915,George Weekes Branch Hayward Public Library,library
-122.1761978,37.7685608,Eastmont Branch Oakland Public Library,library
-122.1907738,37.760614,Martin Luther King Junior Branch Oakland Public Library,library
-122.2224681,37.7835392,Latin American Branch Oakland Public Library,library
-122.2710864,37.8008995,Asian Branch Oakland Public Library,library
-118.2139586,33.8047396,Bret Harte Branch Long Beach Public Library,library
-118.1853462,33.796684,Burnett Branch Long Beach Public Library,library
