lon,lat,name,amenity
-117.1872849,34.0490007,McKinley Elementary,school
-122.156352,37.4221548,Bing Nursery School,school
-117.8064994,33.6784195,Woodbridge High School,school
-118.2614421,33.8945914,St. Albert the Great Elementary School,school
-118.6557677,34.4932564,Castaic High School,school
-122.6826231,38.3414174,Rancho Cotate High School,school
-119.6527445,36.7826026,,school
-119.2905168,35.4947442,Proposed School Site - RLSD,school
-118.0398072,34.0834087,Rio Vista Elementary School,school
-118.4118347,34.1392674,Harvard-Westlake Upper School,school
-120.0983724,36.208581,Huron Elementary School,school
-121.3550938,38.7117498,Antelope High School,school
-122.639004,41.7404463,Yreka High School,school
-117.3358826,34.0707814,Colton High School,school
-121.391148,38.7700245,Westbrook Elementary School,school
-117.3539809,34.4333205,Topaz Preparatory Academy,school
-117.3015408,34.4352202,Pathways to College,school
-121.8927241,37.3398751,Hillbrook School San José Campus,school
-121.8925538,37.3399534,Hillbrook Upper School,school
-117.7349442,33.5762834,,school
-117.7039136,33.6958718,Loma Ridge Elementary School,school
-117.7114305,33.694264,Portola Springs Elementary School,school
-117.6932264,33.5956078,Lomarena Elementary School,school
-122.2042122,37.8088847,Head-Royce School,school
-122.4915508,37.918691,Marin Country Day School,school
-117.3294664,34.5044416,Victorville Head Start,school
-121.5058033,38.5404209,Holy Spirit Parish School,school
-120.5686408,37.300543,McSwain Elementary School,school
-117.3724041,33.1976846,Oceanside High School,school
-117.7810715,33.7032851,Irvine High School,school
-121.0073077,37.6306463,Modesto High School,school
-117.2309198,33.7834137,Saint James School,school
-118.1158411,34.1170626,William L. Valentine Elementary School,school
-118.1136259,34.1174725,Huntington Middle School,school
-118.4006611,33.992128,El Marino Language School,school
-122.232571,37.8411624,Hillcrest Elementary School,school
-122.2123282,37.8302578,Montclair Elementary School,school
-122.2552742,37.832236,Oakland Technical Senior High School,school
-122.2452649,37.8573175,John Muir Elementary,school
-122.2507959,37.845888,Claremont Middle School,school
-122.2429218,37.8499638,Anthony Chabot Elementary School,school
-122.2398855,37.8482173,The College Preparatory School,school
-118.4060617,33.9727808,Cowan Avenue Elementary School,school
-118.4039403,33.9677744,Orville Wright Middle School,school
-118.4051873,33.9620425,Kentwood Elementary School,school
-118.5313949,34.0467338,Palisades Charter High School,school
-122.2389073,37.8516846,Pear Tree Community School,school
-122.2374371,37.7902069,Roosevelt Middle School,school
-118.4200742,33.9864885,Marina Del Rey Middle School,school
-121.7499283,38.5582555,Davis Senior High School,school
-121.7380258,38.5561615,Holmes Junior High School,school
-121.7774432,38.5519422,Ralph Waldo Emerson Junior High School,school
-118.3925525,34.022111,Linwood E Howe Elementary School,school
-118.3777172,33.967589,Open Magnet Charter School,school
-121.7618698,37.2433336,Ledesma Elementary School,school
-122.2112866,37.8356311,Thornhill Elementary School,school
-122.1342171,37.4026938,Henry M. Gunn High School,school
-122.3042019,37.5237522,,school
-122.3091907,37.5302986,,school
-122.3220648,37.5095678,Fox Elementary School,school
-122.3119245,37.5114229,Ralston Middle School,school
-122.0856135,37.4106772,Crittenden Middle School,school
-122.08421,37.4052776,Theuerkauf Elementary School,school
-122.2885887,37.5053962,Carlmont High School,school
-122.3139681,37.9409087,Mira Vista School,school
-121.8443672,37.2166462,Leland High School,school
-121.8451348,37.2130885,Bret Harte Middle School,school
-121.8370399,37.2115766,Graystone Elementary School,school
-122.283629,37.5105367,Charles Armstrong Elementary School,school
-122.2867642,37.5151555,,school
-122.2864795,37.5086196,Tierra Linda Middle School,school
-121.8815584,37.2604034,John Muir Middle School,school
-121.9180018,37.3428235,Bellarmine College Preparatory,school
-121.7619672,37.3109068,Chaboya Middle School,school
-122.293863,37.906837,El Cerrito High School,school
-122.2716908,37.884765,School of the Madeleine,school
-121.7600269,37.6821858,Livermore High School,school
-122.4684982,37.6323161,Pacific Heights Middle School,school
-122.3872959,37.5879978,,school
-121.9002922,36.5949739,Monterey High School,school
-121.709107,38.5587309,Fred T. Korematsu Elementary School,school
-121.7013051,38.562625,Harper Jr. High School,school
-122.048332,37.3356833,Homestead High School,school
-122.035772,37.3475821,Nimitz Elementary School,school
-122.0352763,37.3540064,Fremont High School,school
-122.3507683,37.5239912,Highlands Elementary School,school
-122.4328414,37.64641,Ponderosa Elementary School,school
-122.4446539,37.6310023,,school
-122.4458873,37.6564829,,school
-122.4501051,37.6621001,Alta Loma Middle School,school
-122.2309174,37.8395,Holy Names Central High School,school
-122.4540128,37.6954369,John F Kennedy Elementary School,school
-122.4272969,37.7620041,Mission High School,school
-122.4086727,37.686121,Natalie Lipman Middle School,school
-122.4244531,37.6691123,Hillside Elementary School,school
-122.4360175,37.6658394,,school
-122.4272004,37.6619435,Parkway Heights Middle School,school
-122.4098783,37.6636851,,school
-122.4411784,37.6670827,El Camino High School,school
-122.4262006,37.64768,South San Francisco High School,school
-122.4050741,37.6240724,Belle Air Elementary School,school
-122.4361768,37.6140631,John Muir Elementary School,school
-122.2920954,37.8958289,Albany High School,school
-118.1025285,34.0830337,McKinley Elementary School,school
-118.1030178,34.106983,Washington Elementary School,school
-121.7331772,38.5522673,Da Vinci Charter Academy,school
-124.0821821,40.7855505,Freshwater Elementary School,school
-117.2047955,32.8606708,University City High School,school
-121.685779,38.5512264,Pioneer Elementary,school
-121.7658633,38.5544233,Robert E. Willett Elementary School,school
-121.7597279,38.5542851,Cesar Chavez Elementary School,school
-121.7264082,38.560677,Birch Lane Elementary School,school
-121.7163708,38.5412994,Marguerite Montgomery Elementary School,school
-122.0522598,37.3610142,Sunnyvale Middle School,school
