longitude,latitude,name,amenity,zipcode,zip_distance_km
-118.1248005,34.1373495,Fairchild Library,library,91106,0.7036707187758907
-122.0272058,37.5880833,Union City Library,library,94587,1.9882561585753735
-117.7357233,33.5551711,Ikeda Library,library,92656,3.011911899302172
-120.6622109,35.2822609,San Luis Obispo Library,library,93403,0.2444550664007657
-120.6535078,35.2955038,,library,93403,1.5169640301968748
-122.0341186,37.353152,Fremont High School Library,library,94087,0.33543545888116394
-118.1147251,33.7770895,University Library,library,90840,0.8068179414017768
-121.6246091,39.1375467,Sutter County Free Library,library,95993,3.5039270718030138
-122.0390244,37.3719467,Sunnyvale Public Library,library,94088,0.4247243370491672
-118.1597369,34.0339083,East Los Angeles Public Library,library,90022,1.098529599656375
-117.2395125,32.6744913,Cabrillo National Monument Library,library,92178,5.4300516803583685
-122.1881757,37.8024514,Cusing Library,library,94619,1.6292805548716875
-122.2047883,37.8087102,Head-Royce Read Library,library,94602,0.9793608899610547
-117.8736701,33.6020369,Sherman Library & Gardens,library,92625,0.058758230240961995
-119.0100871,35.3727721,Beale Memorial Library,library,93302,0.7831207376061754
-119.1032583,35.3514257,Walter W. Stiern Library,library,93309,3.9535052353087208
-118.9908957,35.3834607,,library,93305,0.49839560868540567
-119.0237841,35.3318603,Kern County Library - Eleanor Wilson Branch,library,93304,0.8792331841345329
-118.1496026,34.1692893,La Pintoresca Branch Pasadena Public Library,library,91103,0.5713052325003645
-118.9736521,35.4090962,Grace Van Dyke Bird Library,library,93305,2.852521601711201
-122.2618741,37.8755432,Graduate Theological Union Hewlett Library,library,94709,0.44965323329385765
-117.6593322,33.6806751,Foothill Ranch Public Library,library,92610,0.831993482998661
-119.9736258,38.944463,El Dorado County Library South Lake Tahoe Branch,library,96157,1.15011008401076
-118.1168511,34.1453012,Shatford Library,library,91106,0.9192534879077706
-119.8616559,36.431171,,library,93656,0.943905148694776
-119.5533767,36.5147152,Kingsburg Public Library,library,93631,1.1698652082788694
-119.6093539,36.5674543,,library,93662,0.7197319461274687
-122.022239,37.5680346,Centerville Branch Alameda County Library,library,94536,2.1398138819552392
-122.0548677,36.9997951,Crown Library,library,95064,0.5053723660353873
-122.0535729,36.9968927,Page Smith Library,library,95064,0.39129424405002977
-122.1591921,37.4438772,Palo Alto Downtown Library,library,94301,0.8393076659243304
-122.4681394,37.7818476,Richmond / Senator Milton Marks Branch Library,library,94118,0.5966414908817281
-122.4681147,37.7818523,Richmond Branch - San Francisco Public Library,library,94118,0.5945502133532932
-117.12293,33.4970121,Temecula Public Library,library,92589,2.392085671784724
-118.2117741,34.1258709,Mary Norton Clapp Library,library,90041,0.9514759316369902
-117.2696546,33.1054616,Carlsbad City Library (Dove Branch),library,92009,1.3317218575917766
-120.855796,37.3279074,Stevinson Branch Merced County Library,library,95374,1.822319444264705
-117.2324926,33.2020715,San Diego County Library - Vista Branch,library,92085,0.9591847942351935
-117.160658,33.526633,Grace Mellman Library,library,92591,3.0219116666465116
-117.9511687,33.7070456,Fountain Valley Branch Library,library,92708,0.35983985019805087
-117.9864644,33.7551751,Westminster Branch Orange County Public Library,library,92683,0.753511219984679
-122.2932435,37.5088415,,library,94002,0.9528683755527549
-122.2894677,37.5056091,Carlmont High School Library,library,94002,1.3417280336188975
-117.0795394,33.1222697,Christian Science Reading Room,library,92030,0.7243765995685377
-118.4976435,34.2643319,"Los Angeles Public Library, Granada Hills Branch",library,91344,1.4269340775627832
-116.9691998,32.8573368,,library,92071,1.8615991811714827
-117.1816785,33.1503886,LL,library,92069,1.2988793850339264
-122.3047526,37.5334514,Hillsdale Branch Library,library,94403,0.8019057739905423
-117.0745101,33.1268296,Libreria Cristiana,library,92030,1.3949013931953869
-117.0342555,32.6614652,Bonita-Sunnyside Library,library,91908,0.5699127903450367
-117.1991303,32.8676029,North University Community Branch San Diego Public Library,library,92122,1.5960410564179934
-117.0062711,32.816586,Learning Resource Center (70),library,92119,2.3492912925241685
-117.7784262,33.6996234,Heritage Park Regional Library,library,92604,1.3300892644166238
-117.0797281,33.1209117,Escondido Public Library,library,92030,0.6498441264599054
-117.2116688,33.557821,Murrieta Public Library,library,92564,0.48253316691905324
-117.3126614,33.8956073,,library,92508,1.0134549294561706
-117.0833574,32.6410373,,library,91909,0.13071730404068374
-117.1041915,32.6705884,National City Public Library,library,91951,0.9570366232782987
-121.2844209,38.7460447,Roseville Public Library,library,95678,1.6636147370688483
-122.5491109,37.9548464,Learning Center,library,94914,0.772191976591298
-122.7108408,38.4413719,Santa Rosa Central Branch Sonoma County Library,library,95402,0.19612595796797758
-122.2160748,37.8014785,Dimond Branch Oakland Public Library,library,94602,0.5003594063424076
-121.4963863,38.5757766,California State Resources Agency Library,library,95814,0.6298605879353062
-121.8211431,37.2676532,Edenvale Branch Library,library,95111,1.7389713855780213
-122.3353242,37.9175037,Building A B C,library,94804,1.0051914899906085
-122.1612255,37.4762482,Belle Haven Community Library,library,94303,2.215100965856283
-117.8967656,33.9165075,,library,92822,0.7394538384907571
-122.1056299,37.6417776,Building 100,library,94545,1.2140214893136685
-122.3970087,37.6022942,Millbrae Branch San Mateo County Library,library,94030,0.4875607165004647
-122.2625318,37.8382334,Temescal Branch Oakland Public Library,library,94609,0.2584552850726142
-121.6628135,37.1243456,Morgan Hill Library,library,95037,1.6595231050493549
-117.9126609,33.6687964,OCC Library,library,92626,1.3145559676209153
-117.9009601,33.6611224,O Cope Budge Library,library,92627,1.9606102957304063
-117.056574,33.0763426,,library,92025,3.9565419428854183
-121.9379505,37.3483649,Santa Clara University Library,library,95053,0.1601294152164877
-122.1917814,37.4554038,Bowman Library,library,94027,0.7497535420633775
-117.9442849,33.9324548,La Habra Branch Library,library,90633,0.24258078281753218
-118.1333249,33.8487638,Angelo M Iacoboni Library,library,90714,0.276050026698673
-123.8011326,39.4456804,Fort Bragg Branch Mendocino County Library,library,95437,2.71685583956374
-122.2141583,37.4773673,Fair Oaks Branch Redwood City Public Library,library,94063,0.6406256434232331
-117.0247418,33.2426089,Valley Center Branch San Diego County Library,library,92082,1.3657799976682305
-117.5734226,34.1487843,Library,library,91737,0.6739881351078967
-121.0982547,35.5655488,Cambria Branch San Luis Obispo City-County Library,library,93428,1.628736337903749
-122.2822245,37.8392304,Golden Gate Branch Oakland Public Library,library,94608,0.34328941941966296
-120.8588141,37.5248391,Vasche Library,library,95382,0.6360096439369538
-121.3317548,38.7672287,Martha Riley Community Library,library,95747,0.582657633043658
-122.2586664,37.5303405,Redwood Shores Branch Library,library,94065,0.9391873098160327
-117.7660095,33.7948602,Lorenzo A. Ramirez Library - L Building,library,92859,2.1012216294748027
-117.4621056,33.9392356,Arlanza Branch Riverside Public Library,library,92503,2.0711696646177598
-121.9782354,37.2201711,Los Gatos Public Library,library,95030,1.1438278080602307
-122.0834382,37.3903045,Mountain View Public Library,library,94041,0.46748369868815975
-122.631628,38.2423377,Petaluma Branch Sonoma County Library,library,94953,1.190506185062603
-121.7961431,36.6523083,Tanimura & Antle Family Memorial Library,library,93955,3.411648596610834
-121.8773087,36.5975548,NPS Dudley Knox Library,library,93943,0.29301603030253814
-121.8969355,36.5964154,Monterey Public Library,library,93942,0.4657498895237192
-121.8524433,36.6031754,,library,93943,2.05160210934135
-118.401167,34.1946742,Valley Plaza Branch Los Angeles Public Library,library,91605,1.2299338117617564
-119.8789238,34.4380581,,library,93117,1.8779508278102948
