longitude,latitude,name,amenity,zipcode,zip_distance_km
-121.9190902,36.9848549,Mar Vista Elementary School,school,95001,1.9832457409791069
-118.0183447,33.7067845,Hope View Elementary School,school,92605,1.3507074407343558
-121.8511444,37.3970643,Saint Victor Catholic School,school,95152,0.6783367549642629
-117.6006938,33.4402949,Clarence Lobo School,school,92674,1.8946344091368752
-122.2341837,37.4901083,Orion Alternative Elementary School,school,94063,2.4113481513573625
-118.2993736,34.2614444,Verdugo Hills High School,school,91041,0.6635722823771417
-121.4200216,38.5076799,Camellia Basic Elementary School,school,95824,2.2113060063876215
-118.5014268,34.028866,Roosevelt Elementary School,school,90402,0.6864332718377739
-121.8264116,37.3718454,Saint John Vianney School,school,95127,0.5765751934550152
-117.6863747,33.5421034,Niguel Hills Middle School,school,92607,2.8927247296373895
-118.4244863,34.314101,Hubbard Elementary School,school,91342,1.1991735071166139
-118.4430837,34.2809511,Saint Ferdinand School,school,91341,0.3897568575643539
-118.1042633,34.0758689,Marshall School,school,91776,1.6683131591954303
-117.2864771,34.5064073,Green Tree East Leadership Academy,school,92395,0.9015708273925948
-118.612943,34.1422121,Alice C. Stelle Middle School,school,91364,1.9151921997468704
-118.5135435,34.3759173,Dr. J. Michael McGrath Elementary School,school,91321,0.9549182900329669
-118.4951377,34.399974,Golden Valley High School,school,91386,3.351518921534907
-119.0291564,34.2248361,Pleasant Valley School of Engineering and Arts 1-8,school,93011,1.2176414251415357
-117.6679045,33.5186996,JSerra Catholic High School,school,92675,1.5505393381686896
-121.6503336,36.6556541,Monterey Park Elementary School,school,93901,1.5739377780219104
-117.1703946,34.0546268,Redlands High School,school,92375,1.1204470308745622
-118.2576753,33.8297556,Carnegie Middle School,school,90745,1.2432665060767538
-121.7941358,37.6636477,William Mendenhall Middle School,school,94550,3.4842359497844266
-121.7969662,37.6656016,Emma C Smith Elementary School,school,94550,3.560778477000283
-119.2262896,34.2715594,Elmhurst Elementary School,school,93003,1.497944119364593
-119.2495483,34.2780416,Loma Vista Elementary School,school,93003,2.616403664941238
-121.7742615,37.6627512,Sunset Elementary School,school,94550,2.4600644922638177
-121.9257567,36.611084,Pacific Grove High School,school,93950,0.708793311221863
-118.413437,34.0371246,Le Lycée Français de Los Angeles,school,90064,1.1661927853512912
-118.7023449,34.2982081,Big Springs Elementary School,school,93063,1.795057634853469
-121.8571798,37.3661441,ACE Charter High School,school,95133,0.7584222556237038
-117.4162657,34.117167,Alder Middle School,school,92336,1.9824458209950275
-117.4390671,34.1148541,Juniper Elementary School,school,92336,0.295931109373095
-121.9513945,37.2890819,Old Orchard Middle School Campus,school,95009,0.31059814637374605
-121.951432,37.2891803,SAGE Academy Campus,school,95009,0.3204746305100289
-121.9511155,37.2886228,Casa di Mir Middle School Campus,school,95009,0.25882671366045795
-116.1878961,33.6683113,Peter Pendleton Elementary School,school,92236,1.2381003457053326
-118.6314574,34.471621,Castaic Elementary School,school,91384,1.351274935494984
-117.3781468,34.1232467,Eisenhower High School,school,92376,1.1212905609683186
